company_name,description,location,salary
Spiralyze,"* Experience in project management, preferably in a , or digital agency setting.,Coordination. Running big A/B tests requires teams of 5-10 people …","Mumbai, Maharashtra","₹30,000 - ₹80,000 a month"
Damacloid technologies pvt ltd,"Write automation scripts based on business logic.,1-3 years overall agile testing and/or development experience.,Strong analytical and problem-solving skills.","Mumbai, Maharashtra","₹25,000 - ₹50,000 a month"
,"Coordinates with information technology (IT) contacts and business partners to design, develop, and troubleshoot end-to-end technical solutions.","Mumbai, Maharashtra",
Millionlights Bootcamp (DXC Technologies),"Course details : 4 weeks, 5 days a week daily 4 hours live mentoring with daily labs and assignments will require approximately 6-8 hours of your time…","Bengaluru, Karnataka","₹3,80,000 - ₹4,00,000 a year"
,"A day in the life of an Infoscion • As part of the Infosys Delivery team, you will work on implementing designs, developing high quality programs and systems,…","Bengaluru, Karnataka",
Millionlights For (DXC Technologies),"Course details : 4 weeks, 5 days a week daily 4 hours live mentoring with daily labs and assignments will require approximately 6-8 hours of your time…","Hyderabad, Telangana","₹3,80,000 - ₹4,00,000 a year"
Dymensions Inc,"Our strong expertise in Customer Relationship Management domain, combined with expertise across technology landscapes, makes us a preferred consulting partner…","Bengaluru, Karnataka","₹3,50,000 - ₹3,60,000 a year"
All Blue Infotech,"O Develop, test, implement and maintain application software.,O Conduct , programming, testing and debugging.,O Good into java, development experience.","Bengaluru, Karnataka","₹30,00,000 - ₹80,00,000 a year"
,,"Bengaluru, Karnataka",
ProductsUp,"We’re looking for hands-on engineers (Freshers welcome) with 1-3 years experience for our API/Backend Development team.,PHP Development: 1 year (Preferred).","Hyderabad, Telangana","₹12,00,000 a year"
,"Develop user interfaces business , components and embedded , components.,Interpret the applications features and component design developing the…","Bengaluru, Karnataka",
Sjm infotech pvt Ltd,"No previous experience required , we will provide you training and placement.,2011 - 2017 Batch BE (in any branch including non technical ).","Bengaluru, Karnataka","₹5,00,000 a year"
HSA Technologies,"Job Types: Full-time, Internship, Contract.,Google Cloud Platform: 1 year (Preferred).","Bengaluru, Karnataka","₹30,000 a month"
," Have a passion for delivering zero defect code., Effectively communicate status, issues, and risks in a precise and timely manner.","Bengaluru, Karnataka","₹8,00,000 - ₹15,00,000 a year"
EXPO,"The Company protects identities, transactions, communications, data and , licensing through a full spectrum of encryption technologies, including…","Mumbai, Maharashtra",
,"Incident Management Ø Identifies impact and validates priority.,Ø Provides technical and functional analysis Ø Provides the solution to users.","Pune, Maharashtra",
Midfin Systems Pvt Ltd,"Ultimately, you’ll build highly responsive web applications that align with our business needs.,To be successful in this role, you should have experience using…","Mumbai, Maharashtra","₹2,00,000 - ₹4,00,000 a year"
Kivi Capital,"Perform R& D; to build a , platform in Python for backtesting various kind of investment strategies using the above databases.","Gurgaon, Haryana","₹18,00,000 - ₹25,00,000 a year"
,Ability to leverage industry best integration patterns and practices to integrate multiple existing/new building blocks for seamless end-to-end customer…,"Pune, Maharashtra",
HeartShirt Pvt Ltd,"Working on hardware mainly digital display screens.,Working on Arduino/Raspberry pi, other micro-controllers.,Embedded system programming and controlling.","Thane, Maharashtra","₹15,000 - ₹25,000 a month"
futuremug,"The Test will have Coding questions (Languages – Java 8, C++, C, Python 2/3, JavaScript).,Associate , Engineer (Roles-Test Engineers/ Implementation…","Thiruvananthapuram, Kerala","₹4,50,000 a year"
IndiCoin,"The candidate should have basic understanding of front end technologies like Html, CSS and Javascript and relational Databases.","Bengaluru, Karnataka","₹5,000 - ₹10,000 a month"
Amber Road India,"The position will be for , development on Java.","Bengaluru, Karnataka",
