company_name,description,location,salary
Damacloid technologies pvt ltd,"1-3 years overall agile testing and/or development experience.,Knowledge of SQL and ability to write basic queries.,Functional testing: 1 year (Preferred).","Mumbai, Maharashtra","₹25,000 - ₹50,000 a month"
Embedos Engineering LLP,"Embedded ,: 1 year (Preferred).,Open source ,, documentation, versioning systems.,Hardware design small signal /Tele communication/interface…","Mumbai, Maharashtra","₹20,000 - ₹30,000 a month"
Spiralyze,"* Experience in project management, preferably in a , or digital agency setting.,We code those designs into challenger web pages.","Mumbai, Maharashtra","₹30,000 - ₹80,000 a month"
,"Build applications across a full stack of technologies.,Continually improve our technical stack and processes.,BS or MS in Computer Science (or equivalent).","Hyderabad, Telangana","₹29,20,000 - ₹43,80,000 a year"
"Techno-Sciences, llc","UX/UI design and development: 4 years (Required).,Support , packaging and release management.,Experience using , packaging such as Yarn/npm.","Mumbai, Maharashtra","₹10,00,000 a year"
,"3+ years of experience in , development.,Experience with developing and delivering SaaS software.,Participate in Peer and Team code review sessions.","Andheri, Mumbai, Maharashtra",
Lifecycle Systems,"Ability to understand and reference knowledge of other , systems to gather comprehensive business requirements.,Experienced in development through C#, .","Bengaluru, Karnataka","₹9,50,000 - ₹12,00,000 a year"
,"Various OS like Android, Linux and Databases like relational and no-SQL.,Self-motivation, enduring enthusiasm and proven rapid learning ability.","Pune, Maharashtra",
,"Preferably experience in building applications using java spring boot framework.,Good with Java programming language with knowledge on design patterns.","Bengaluru, Karnataka",
Enrichvideo,"Be in-charge of entire modules which will involve design, coding, testing, and deployment.,Troubleshoot, debug and upgrade existing software.","Bengaluru, Karnataka",
AONE HR,"Good knowledge of SQL Query, ability to write complex joins.,Work with the business analyst/product owner to understand functional requirement and implement the…","Andheri, Mumbai, Maharashtra","₹15,000 - ₹25,000 a month"
,"You are responsible for requirement understanding, design and development of scripts and tool for larger data processing.,Knowledge in C# programming languages.","Mumbai, Maharashtra",
,"Ability to write clean, efficient code based on specifications in any one programming/ scripting language.,Creating interactive simulations and coding exercises…","Bengaluru, Karnataka","₹5,00,000 a year"
,"Understanding of , skills such as business analysis, development, maintenance, and , improvement.,BS/BA degree or equivalent experience.","Mumbai, Maharashtra",
EHASYS TECHNOLOGY,"Job Types: Full-time, Fresher.","Indi, Karnataka","₹15,000 - ₹25,000 a month"
,"Applies the principles of , engineering to the design, development, maintenance, testing and evaluation of , and computer systems.","Mumbai, Maharashtra",
Aczet Pvt. Ltd.,"We also have product certifications like NTEP, OIML, EC type approval and CE ensuring quality of our product.,Manual testing: 1 year (Preferred).","Mumbai, Maharashtra","₹2,50,000 a year"
,"Determines systems , design requirements.,Generates systems , engineering policies, standards and procedures.","Mumbai, Maharashtra",
,"Should be proficient in working with technologies like: Java, J2EE, SQL2005, SQL2008, XSLT, XML, EJB2.0, JMS, JSP.,Hands-on exposure of SQL is must.","Mumbai, Maharashtra","₹4,00,000 - ₹8,00,000 a year"
"ValueFin India Credit Services Private Ltd, Mumbai","Passion for best design and coding practices and a desire to develop new bold ideas.,Responsible for managing back-end services and the interchange of data…","Mumbai, Maharashtra","₹20,000 - ₹30,000 a month"
Vibry Business Solutions,"Trained in Java, testing, Python will be added advantage.,Job Types: Full-time, Fresher, Walk-In.,Total work: 1 year (Preferred).","Bengaluru, Karnataka","₹20,000 - ₹50,000 a month"
,"Knowledge of , configuration management and change management practices.,Demonstrate the ability to develop efficient and high quality software.","Mumbai, Maharashtra",
,"Well versed with Incident life cycle management, Problem life cycle management and PMR process.,Linux, shell scripting, Java and Oracle as skillset ITIL…","Pune, Maharashtra",
Three Meadows Software Private Limited,"2 to 6 years of experience.,Good programming skills in C/C++ with data structure, multithreading inter-process communication.,Good understanding of OS concepts.","Bengaluru, Karnataka","₹6,00,000 - ₹25,00,000 a year"
AMAGI,"Experience with a modern , language (Node.js, Golang, etc.).,Experience developing with modern Back-End technologies.,Job Types: Full-time, Contract.","Bengaluru, Karnataka","₹6,36,000 - ₹7,20,000 a year"
,"Determines systems , design requirements.,Generates systems , engineering policies, standards and procedures.","Mumbai, Maharashtra",
CWD Limited,"Presenting test reports to management and suggesting , fixes.,Proven Minimum 1 year work experience as a *software test engineer*.","Navi Mumbai, Maharashtra","₹15,000 - ₹20,000 a month"
LogicMonitor,"The , Developer on the Platform Engineering team is responsible for the implementation, design, architecture, and quality control of business…","Pune, Maharashtra",
XoriantːIN,"Knowledge on Java (Object Oriented Programming).,Added advantage if candidate has knowledge on Python.","Pune, Maharashtra",
,"What it takes: The ability to understand and maintain Scripting , Deep understanding of Linux systems Hands on experience with cloud infrastructure;…","Bengaluru, Karnataka",
,"Understanding of , skills such as business analysis, development, maintenance, and , improvement.,BS/BA degree or equivalent experience.","Mumbai, Maharashtra",
Soft Designers,"Writing test-backed server-side code.,The main scope of work will include everything from back-end to client-side code, using optimal and efficient technologies…","Bengaluru, Karnataka","₹7,000 - ₹9,000 a month"
,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…","Bengaluru, Karnataka",
,,"Bengaluru, Karnataka",
"Hash Connect Integrated Services Pvt Ltd,Banglore","3 - 4 years experience in testing Web and Mobile Applications.,Manual testing: 3 years (Preferred).,Total work: 3 years (Preferred).","Bengaluru, Karnataka","₹4,00,000 - ₹6,00,000 a year"
,"We are looking for talented , and architects who have an innate passion for creating beautiful and elegant systems.,Job Shift: Day/Mid/Night.","Navi Mumbai, Maharashtra","₹6,00,000 a year"
Key Concepts Tech LLP,"Technical support: 3 years (Preferred).,*Research and identify solutions to , issues.*.,*Properly escalate unresolved issues to appropriate internal…",,"₹10,521 - ₹30,000 a month"
Aczet Pvt. Ltd.,"We also have product certifications like NTEP, OIML, EC type approval and CE ensuring quality of our product.,Manual testing: 1 year (Preferred).","Mumbai, Maharashtra","₹2,50,000 a year"
Lis Nepal,"Code, debug, and test , components and products independently in a high-availability, high performance environment.","Mumbai, Maharashtra",
,"Analysing Business Requirements, assessing the quality of these to ensure they are Cohesive, Comprehensive, Concise, Clear and Correct, and assures the work of…","Navi Mumbai, Maharashtra",
,"*Should be able analyses the code to investigate and fix issues reported in the existing application*.,*You will be responsible for design, development and…","Pune, Maharashtra","₹3,00,000 - ₹4,50,000 a year"
GroundTruth,"Implementing features and services for our product.,Working /Shadowing in on-going project development.,Understanding the requirements & implement accordingly.","Gurgaon, Haryana",
SEOReseller.com,"Knowledgeable in cloud server management using Amazon Web Services (AWS) and its services (EC2, RDS, Lambda, etc).,Adhere to strict coding standards.","Mumbai, Maharashtra","₹1,50,000 - ₹3,00,000 a month"
,"Extensive experience in object-oriented design skills, knowledge of design patterns, and huge passion and ability to design intuitive module and class-level…","Pune, Maharashtra",
EHASYS TECHNOLOGY,"Job Types: Full-time, Fresher.","Indi, Karnataka","₹15,000 - ₹25,000 a month"
,Assists with writing business requirements and technical specification documents to design and develop technical solutions that meet business needs.,"Mumbai, Maharashtra",
AltraDimension Technologies Private Limited,"Ø Compiling and assessing user feedback to improve , performance.,Ø Working on , development by writing clean & efficient codes.","Bengaluru, Karnataka","₹10,000 a month"
,,"Bengaluru, Karnataka",
AltraDimension Technologies Private Limited,"Ø Compiling and assessing user feedback to improve , performance.,Ø Working on , development by writing clean & efficient codes.","Bengaluru, Karnataka","₹10,000 a month"
,"You’re expected to design and code in multiple tech components related to your functional area.,You’re required to learn the best practices and design…","Bengaluru, Karnataka",
,,"Hyderabad, Telangana",
,"The , life cycle and supports SW Quality Plan design.,Can lead quality related problem solving for software.,Initiate field actions when required.","Bengaluru, Karnataka",
,"Participate in code reviews and help collectively solve complex problems like routing, repo structure, isomorphic rendering, automated performance benchmarking…","Bengaluru, Karnataka",
,"Knowledge of , configuration management and change management practices.,Demonstrate the ability to develop efficient and high quality software.","Mumbai, Maharashtra",
Scientia Innovation.Pvt.Ltd,"Develop web based application using php/python.,UI development using bootstrap / and javascript libraries etc.,Mobile application development for Android/IOS.",,"₹8,000 - ₹10,000 a month"
MudraCircle.com,"Strong background in , engineering and design with an ability to architect reusable and modular code and adhere to modern design patterns.","Mumbai, Maharashtra","₹5,000 - ₹15,000 a month"
,"Working with Ops, Dev and Test , to ensure operational issues (performance, operator intervention, alerting, design defect related issues, etc.).","Pune, Maharashtra",
,"Understand and apply financial concepts to technology solutions for business problems.,Design and develop , solutions to problems in the financial…","Mumbai, Maharashtra",
Line of Business:,"Should have done projects using any of the programming language like C#, .,Designing, coding, testing and supporting , applications across multiple…","Chennai, Tamil Nadu",
,"Its electric-vehicle arm, Ola Electric, supplements Ola’s core mobility offering in India; India’s largest fleet management business, Ola Fleet Technologies and…","Bengaluru, Karnataka",
Lis Nepal,"Code, debug, and test , components and products independently in a high-availability, high performance environment.","Mumbai, Maharashtra",
,"Develop object-oriented models and design data structures for new , projects and implement business logic and data models with a suitable class design.","Bengaluru, Karnataka",
,"Demonstrate ability to learn and adapt to Rackspace specific tools.,Good hands on experience on system administration (Windows\ LINUX).","Bengaluru, Karnataka",
STARLINK TECHNOLOGY OPC PVT. LTD.,"Investigating and using new technologies where relevant.,Maintaining and improving existing codebases and peer review code changes.","Pune, Maharashtra","₹20,000 - ₹40,000 a month"
futuremug,"The Test will have Coding questions (Languages – Java 8, C++, C, Python 2/3, JavaScript).,Associate , , (Roles-Test ,/ Implementation…","Thiruvananthapuram, Kerala","₹4,50,000 a year"
," Total 3 to 6 years of experience in , quality assurance., Good business knowledge on any one of the following: -.","Mumbai, Maharashtra","₹5,00,000 - ₹9,00,000 a year"
Graphhene Software Pvt. Ltd.," Object-oriented , design / implementation., Experience in using SQL server or oracle databases., Ability to understand the , program design…","Noida, Uttar Pradesh","₹60,000 - ₹1,50,000 a month"
